tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-04-01,48,43,28,110,10,110,O3,TIDAK SEHAT,DKI2
2017-04-02,51,39,45,96,16,96,O3,SEDANG,DKI2
2017-04-03,37,41,37,61,24,61,O3,SEDANG,DKI4
2017-04-04,47,32,41,150,19,150,O3,TIDAK SEHAT,DKI2
2017-04-05,53,33,38,51,15,53,PM10,SEDANG,DKI4
2017-04-06,33,33,26,28,6,33,PM10,BAIK,DKI1
2017-04-07,40,33,17,57,14,57,O3,SEDANG,DKI1
2017-04-08,23,32,17,38,6,38,O3,BAIK,DKI1
2017-04-09,30,33,21,31,13,33,SO2,BAIK,DKI3
2017-04-10,65,35,42,113,21,113,O3,TIDAK SEHAT,DKI2
2017-04-11,66,36,23,132,29,132,O3,TIDAK SEHAT,DKI2
2017-04-12,52,34,26,110,17,110,O3,TIDAK SEHAT,DKI3
2017-04-13,56,34,47,108,14,108,O3,TIDAK SEHAT,DKI3
2017-04-14,55,34,33,81,21,81,O3,SEDANG,DKI3
2017-04-15,71,37,36,82,11,82,O3,SEDANG,DKI3
2017-04-16,73,34,53,91,26,91,O3,SEDANG,DKI3
2017-04-17,83,54,56,92,15,92,O3,SEDANG,DKI3
2017-04-18,84,35,62,113,22,113,O3,TIDAK SEHAT,DKI2
2017-04-19,73,38,60,139,16,139,O3,TIDAK SEHAT,DKI5
2017-04-20,65,45,57,140,20,140,O3,TIDAK SEHAT,DKI2
2017-04-21,63,36,38,127,14,127,O3,TIDAK SEHAT,DKI5
2017-04-22,71,34,57,88,20,88,O3,SEDANG,DKI3
2017-04-23,55,35,61,123,15,123,O3,TIDAK SEHAT,DKI3
2017-04-24,70,36,39,95,19,95,O3,SEDANG,DKI3
2017-04-25,93,38,70,82,18,93,PM10,SEDANG,DKI4
2017-04-26,57,34,18,57,11,57,PM10,SEDANG,DKI4
2017-04-27,66,34,35,82,25,82,O3,SEDANG,DKI1
2017-04-28,56,35,28,88,24,88,O3,SEDANG,DKI2
2017-04-29,54,40,17,48,14,54,PM10,SEDANG,DKI4
2017-04-30,63,43,18,139,14,139,O3,TIDAK SEHAT,DKI2
,,,,,,,,,
