tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-01-01,72,32,53,51,11,72,PM10,SEDANG,DKI4
2016-01-02,52,32,29,50,12,52,PM10,SEDANG,DKI1
2016-01-03,44,33,33,50,18,50,O3,BAIK,DKI3
2016-01-04,61,33,36,103,24,103,O3,TIDAK SEHAT,DKI2
2016-01-05,99,33,54,67,22,99,PM10,SEDANG,DKI4
2016-01-06,75,33,43,55,17,75,PM10,SEDANG,DKI4
2016-01-07,75,33,31,70,13,75,PM10,SEDANG,DKI4
2016-01-08,60,33,30,62,9,62,O3,SEDANG,DKI2
2016-01-09,77,33,34,68,9,77,PM10,SEDANG,DKI4
2016-01-10,83,39,38,86,15,86,O3,SEDANG,DKI2
2016-01-11,82,38,36,93,14,93,O3,SEDANG,DKI2
2016-01-12,72,37,38,60,20,72,PM10,SEDANG,DKI4
2016-01-13,65,37,43,57,16,65,PM10,SEDANG,DKI5
2016-01-14,59,38,33,53,18,59,PM10,SEDANG,DKI2
2016-01-15,68,42,39,60,11,68,PM10,SEDANG,DKI4
2016-01-16,68,42,34,95,15,95,O3,SEDANG,DKI1
2016-01-17,94,42,39,149,17,149,O3,TIDAK SEHAT,DKI1
2016-01-18,96,44,43,107,21,107,O3,TIDAK SEHAT,DKI2
2016-01-19,77,45,31,83,18,83,O3,SEDANG,DKI3
2016-01-20,61,44,39,69,18,69,O3,SEDANG,DKI1
2016-01-21,66,48,35,73,14,73,O3,SEDANG,DKI3
2016-01-22,79,41,59,52,15,79,PM10,SEDANG,DKI4
2016-01-23,55,40,37,51,14,55,PM10,SEDANG,DKI4
2016-01-24,55,41,42,48,14,55,PM10,SEDANG,DKI1
2016-01-25,37,40,32,49,13,49,O3,BAIK,DKI1
2016-01-26,61,42,47,54,16,61,PM10,SEDANG,DKI1
2016-01-27,80,43,58,81,21,81,O3,SEDANG,DKI3
2016-01-28,64,42,30,77,15,77,O3,SEDANG,DKI1
2016-01-29,69,44,29,83,16,83,O3,SEDANG,DKI2
2016-01-30,80,42,24,62,14,80,PM10,SEDANG,DKI4
2016-01-31,80,42,25,51,12,80,PM10,SEDANG,DKI4
