tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-06-01,76,28,57,119,14,119,O3,TIDAK SEHAT,DKI2
2016-06-02,69,27,81,75,15,81,CO,SEDANG,DKI5
2016-06-03,51,28,35,140,18,140,O3,TIDAK SEHAT,DKI2
2016-06-04,88,28,61,85,18,88,PM10,SEDANG,DKI2
2016-06-05,84,28,72,70,19,84,PM10,SEDANG,DKI4
2016-06-06,95,28,71,113,19,113,O3,TIDAK SEHAT,DKI5
2016-06-07,77,30,65,56,20,77,PM10,SEDANG,DKI2
2016-06-08,54,29,38,114,14,114,O3,TIDAK SEHAT,DKI3
2016-06-09,52,28,37,59,17,59,O3,SEDANG,DKI2
2016-06-10,72,27,73,65,26,73,CO,SEDANG,DKI5
2016-06-11,59,28,49,68,13,68,O3,SEDANG,DKI3
2016-06-12,73,28,58,114,14,114,O3,TIDAK SEHAT,DKI5
2016-06-13,64,28,49,129,17,129,O3,TIDAK SEHAT,DKI3
2016-06-14,73,29,45,85,15,85,O3,SEDANG,DKI3
2016-06-15,66,29,47,81,21,81,O3,SEDANG,DKI3
2016-06-16,65,31,47,53,19,65,PM10,SEDANG,DKI4
2016-06-17,66,29,41,69,20,69,O3,SEDANG,DKI3
2016-06-18,40,29,44,33,18,44,CO,BAIK,DKI5
2016-06-19,62,29,59,126,13,126,O3,TIDAK SEHAT,DKI4
2016-06-20,77,30,65,113,20,113,O3,TIDAK SEHAT,DKI3
2016-06-21,85,30,52,125,24,125,O3,TIDAK SEHAT,DKI5
2016-06-22,67,28,37,127,20,127,O3,TIDAK SEHAT,DKI3
2016-06-23,71,28,41,108,16,108,O3,TIDAK SEHAT,DKI2
2016-06-24,71,30,49,119,16,119,O3,TIDAK SEHAT,DKI5
2016-06-25,73,29,65,109,19,109,O3,TIDAK SEHAT,DKI3
2016-06-26,83,29,59,78,19,83,PM10,SEDANG,DKI1
2016-06-27,63,29,61,73,14,73,O3,SEDANG,DKI2
2016-06-28,76,30,51,137,16,137,O3,TIDAK SEHAT,DKI3
2016-06-29,68,30,53,100,24,100,O3,SEDANG,DKI5
2016-06-30,61,28,57,78,16,78,O3,SEDANG,DKI3
