tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-11-01,51,30,30,59,16,59,O3,SEDANG,DKI3
2016-11-02,49,30,29,49,10,49,PM10,BAIK,DKI2
2016-11-03,55,31,33,73,12,73,O3,SEDANG,DKI2
2016-11-04,64,32,37,126,16,126,O3,TIDAK SEHAT,DKI2
2016-11-05,69,32,37,150,18,150,O3,TIDAK SEHAT,DKI2
2016-11-06,128,33,65,172,21,172,O3,TIDAK SEHAT,DKI5
2016-11-07,79,49,46,136,22,136,O3,TIDAK SEHAT,DKI5
2016-11-08,66,31,41,75,25,75,O3,SEDANG,DKI2
2016-11-09,58,31,44,143,14,143,O3,TIDAK SEHAT,DKI2
2016-11-10,59,33,36,116,17,116,O3,TIDAK SEHAT,DKI2
2016-11-11,70,34,47,123,25,123,O3,TIDAK SEHAT,DKI2
2016-11-12,59,43,60,93,16,93,O3,SEDANG,DKI2
2016-11-13,44,30,36,65,20,65,O3,SEDANG,DKI2
2016-11-14,55,31,51,120,14,120,O3,TIDAK SEHAT,DKI3
2016-11-15,51,31,48,77,11,77,O3,SEDANG,DKI2
2016-11-16,55,31,52,139,19,139,O3,TIDAK SEHAT,DKI3
2016-11-17,61,32,39,106,18,106,O3,TIDAK SEHAT,DKI3
2016-11-18,74,39,43,73,15,74,PM10,SEDANG,DKI4
2016-11-19,59,32,56,81,18,81,O3,SEDANG,DKI5
2016-11-20,60,32,40,63,14,63,O3,SEDANG,DKI5
2016-11-21,61,31,40,65,15,65,O3,SEDANG,DKI2
2016-11-22,66,32,42,121,29,121,O3,TIDAK SEHAT,DKI5
2016-11-23,66,31,32,148,21,148,O3,TIDAK SEHAT,DKI2
2016-11-24,65,32,59,82,17,82,O3,SEDANG,DKI2
2016-11-25,51,32,31,41,8,51,PM10,SEDANG,DKI3
2016-11-26,75,34,39,86,12,86,O3,SEDANG,DKI3
2016-11-27,93,42,78,87,18,93,PM10,SEDANG,DKI4
2016-11-28,82,37,61,58,18,82,PM10,SEDANG,DKI4
2016-11-29,42,31,32,70,12,70,O3,SEDANG,DKI4
2016-11-30,66,33,35,60,20,66,PM10,SEDANG,DKI3
