tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-05-01,57,29,69,62,16,69,CO,SEDANG,DKI5
2016-05-02,64,29,49,66,12,66,O3,SEDANG,DKI5
2016-05-03,70,29,48,54,10,70,PM10,SEDANG,DKI4
2016-05-04,78,30,71,56,10,78,PM10,SEDANG,DKI3
2016-05-05,63,28,52,46,9,63,PM10,SEDANG,DKI4
2016-05-06,81,29,78,128,16,128,O3,TIDAK SEHAT,DKI3
2016-05-07,77,28,46,93,13,93,O3,SEDANG,DKI2
2016-05-08,74,28,67,84,22,84,O3,SEDANG,DKI2
2016-05-09,64,29,50,145,16,145,O3,TIDAK SEHAT,DKI2
2016-05-10,76,29,46,86,19,86,O3,SEDANG,DKI3
2016-05-11,71,30,39,84,10,84,O3,SEDANG,DKI3
2016-05-12,88,30,57,87,14,88,PM10,SEDANG,DKI4
2016-05-13,63,29,45,94,13,94,O3,SEDANG,DKI5
2016-05-14,56,28,39,104,17,104,O3,TIDAK SEHAT,DKI5
2016-05-15,62,30,46,73,8,73,O3,SEDANG,DKI5
2016-05-16,43,29,39,92,21,92,O3,SEDANG,DKI5
2016-05-17,78,29,56,83,21,83,O3,SEDANG,DKI2
2016-05-18,78,30,61,72,18,78,PM10,SEDANG,DKI2
2016-05-19,69,29,56,155,12,155,O3,TIDAK SEHAT,DKI3
2016-05-20,72,29,43,90,19,90,O3,SEDANG,DKI5
2016-05-21,61,28,37,81,21,81,O3,SEDANG,DKI5
2016-05-22,65,28,53,109,15,109,O3,TIDAK SEHAT,DKI5
2016-05-23,59,28,40,118,20,118,O3,TIDAK SEHAT,DKI3
2016-05-24,64,28,55,91,20,91,O3,SEDANG,DKI5
2016-05-25,62,28,47,82,18,82,O3,SEDANG,DKI5
2016-05-26,91,38,56,63,17,91,PM10,SEDANG,DKI2
2016-05-27,89,29,55,73,29,89,PM10,SEDANG,DKI2
2016-05-28,94,29,67,79,19,94,PM10,SEDANG,DKI2
2016-05-29,61,28,39,59,13,61,PM10,SEDANG,DKI4
2016-05-30,65,29,56,79,27,79,O3,SEDANG,DKI5
2016-05-31,65,29,46,101,14,101,O3,TIDAK SEHAT,DKI5
