tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-07-01,59,29,68,104,21,104,O3,TIDAK SEHAT,DKI5
2016-07-02,79,29,67,104,15,104,O3,TIDAK SEHAT,DKI2
2016-07-03,59,28,48,70,7,70,O3,SEDANG,DKI3
2016-07-04,44,28,49,55,11,55,O3,SEDANG,DKI3
2016-07-05,53,28,43,68,10,68,O3,SEDANG,DKI3
2016-07-06,60,28,65,66,14,66,O3,SEDANG,DKI3
2016-07-07,50,28,32,64,10,64,O3,SEDANG,DKI3
2016-07-08,39,28,31,65,13,65,O3,SEDANG,DKI5
2016-07-09,56,29,40,73,12,73,O3,SEDANG,DKI5
2016-07-10,62,29,42,68,12,68,O3,SEDANG,DKI5
2016-07-11,73,29,45,54,14,73,PM10,SEDANG,DKI3
2016-07-12,42,28,34,76,9,76,O3,SEDANG,DKI2
2016-07-13,73,36,56,90,15,90,O3,SEDANG,DKI5
2016-07-14,86,31,53,73,20,86,PM10,SEDANG,DKI4
2016-07-15,62,32,34,45,10,62,PM10,SEDANG,DKI4
2016-07-16,56,28,36,54,9,56,PM10,SEDANG,DKI4
2016-07-17,65,34,58,71,14,71,O3,SEDANG,DKI3
2016-07-18,53,28,55,134,16,134,O3,TIDAK SEHAT,DKI4
2016-07-19,63,28,56,115,21,115,O3,TIDAK SEHAT,DKI3
2016-07-20,60,28,43,81,16,81,O3,SEDANG,DKI5
2016-07-21,69,29,45,97,22,97,O3,SEDANG,DKI4
2016-07-22,73,29,45,65,14,73,PM10,SEDANG,DKI2
2016-07-23,80,29,58,87,15,87,O3,SEDANG,DKI3
2016-07-24,70,29,59,103,14,103,O3,TIDAK SEHAT,DKI5
2016-07-25,49,28,45,96,11,96,O3,SEDANG,DKI3
2016-07-26,70,29,42,173,14,173,O3,TIDAK SEHAT,DKI2
2016-07-27,68,30,43,146,18,146,O3,TIDAK SEHAT,DKI3
2016-07-28,81,30,26,72,15,81,PM10,SEDANG,DKI4
2016-07-29,90,30,26,106,13,106,O3,TIDAK SEHAT,DKI3
2016-07-30,56,29,51,119,20,119,O3,TIDAK SEHAT,DKI5
2016-07-31,71,30,36,106,11,106,O3,TIDAK SEHAT,DKI3
