tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2016-08-01,73,29,45,100,11,100,O3,SEDANG,DKI3
2016-08-02,58,30,38,131,14,131,O3,TIDAK SEHAT,DKI2
2016-08-03,64,30,41,136,21,136,O3,TIDAK SEHAT,DKI5
2016-08-04,87,30,49,133,15,133,O3,TIDAK SEHAT,DKI2
2016-08-05,107,30,47,108,21,108,O3,TIDAK SEHAT,DKI3
2016-08-06,72,30,40,87,14,87,O3,SEDANG,DKI3
2016-08-07,81,30,37,119,11,119,O3,TIDAK SEHAT,DKI2
2016-08-08,58,29,35,77,11,77,O3,SEDANG,DKI5
2016-08-09,60,28,45,63,16,63,O3,SEDANG,DKI3
2016-08-10,60,29,45,102,16,102,O3,TIDAK SEHAT,DKI5
2016-08-11,63,28,41,88,18,88,O3,SEDANG,DKI3
2016-08-12,64,29,41,119,18,119,O3,TIDAK SEHAT,DKI3
2016-08-13,63,29,38,103,16,103,O3,TIDAK SEHAT,DKI3
2016-08-14,51,29,38,72,15,72,O3,SEDANG,DKI3
2016-08-15,50,28,45,121,19,121,O3,TIDAK SEHAT,DKI5
2016-08-16,72,30,41,107,12,107,O3,TIDAK SEHAT,DKI3
2016-08-17,86,33,69,59,12,86,PM10,SEDANG,DKI3
2016-08-18,55,29,47,77,12,77,O3,SEDANG,DKI5
2016-08-19,71,30,46,83,15,83,O3,SEDANG,DKI4
2016-08-20,55,29,45,115,16,115,O3,TIDAK SEHAT,DKI3
2016-08-21,69,30,35,88,12,88,O3,SEDANG,DKI3
2016-08-22,59,31,38,83,11,83,O3,SEDANG,DKI5
2016-08-23,65,30,33,176,13,176,O3,TIDAK SEHAT,DKI2
2016-08-24,70,29,35,101,15,101,O3,TIDAK SEHAT,DKI2
2016-08-25,80,34,62,133,21,133,O3,TIDAK SEHAT,DKI2
2016-08-26,78,31,44,103,17,103,O3,TIDAK SEHAT,DKI5
2016-08-27,79,31,58,70,12,79,PM10,SEDANG,DKI4
2016-08-28,60,29,64,78,11,78,O3,SEDANG,DKI3
2016-08-29,80,29,76,66,12,80,PM10,SEDANG,DKI5
2016-08-30,81,30,48,111,21,111,O3,TIDAK SEHAT,DKI3
2016-08-31,78,29,79,71,26,79,CO,SEDANG,DKI5
