tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-10-01,53,42,34,81,12,81,O3,SEDANG,DKI2
2017-10-02,57,52,47,83,15,83,O3,SEDANG,DKI3
2017-10-03,58,52,43,84,20,84,O3,SEDANG,DKI3
2017-10-04,56,52,41,108,22,108,O3,TIDAK SEHAT,DKI3
2017-10-05,69,52,40,77,17,77,O3,SEDANG,DKI3
2017-10-06,62,52,40,87,13,87,O3,SEDANG,DKI3
2017-10-07,71,52,39,134,14,134,O3,TIDAK SEHAT,DKI3
2017-10-08,66,52,19,97,14,97,O3,SEDANG,DKI3
2017-10-09,72,52,38,79,15,79,O3,SEDANG,DKI5
2017-10-10,71,51,40,82,24,82,O3,SEDANG,DKI4
2017-10-11,67,52,40,107,22,107,O3,TIDAK SEHAT,DKI5
2017-10-12,77,52,39,103,23,103,O3,TIDAK SEHAT,DKI5
2017-10-13,58,52,39,131,24,131,O3,TIDAK SEHAT,DKI5
2017-10-14,52,53,32,107,19,107,O3,TIDAK SEHAT,DKI1
2017-10-15,61,53,30,103,11,103,O3,TIDAK SEHAT,DKI5
2017-10-16,44,53,31,84,18,84,O3,SEDANG,DKI2
2017-10-17,52,52,47,134,18,134,O3,TIDAK SEHAT,DKI2
2017-10-18,61,53,31,123,16,123,O3,TIDAK SEHAT,DKI5
2017-10-19,57,52,44,86,20,86,O3,SEDANG,DKI4
2017-10-20,51,52,43,168,22,168,O3,TIDAK SEHAT,DKI5
2017-10-21,84,53,53,128,27,128,O3,TIDAK SEHAT,DKI5
2017-10-22,67,53,39,86,14,86,O3,SEDANG,DKI5
2017-10-23,66,52,37,89,15,89,O3,SEDANG,DKI5
2017-10-24,53,52,49,110,28,110,O3,TIDAK SEHAT,DKI4
2017-10-25,55,52,38,93,19,93,O3,SEDANG,DKI4
2017-10-26,61,53,32,68,17,68,O3,SEDANG,DKI2
2017-10-27,56,53,33,126,14,126,O3,TIDAK SEHAT,DKI5
2017-10-28,73,52,37,87,19,87,O3,SEDANG,DKI5
2017-10-29,80,52,52,90,20,90,O3,SEDANG,DKI5
2017-10-30,74,52,39,95,20,95,O3,SEDANG,DKI5
2017-10-31,57,52,32,119,16,119,O3,TIDAK SEHAT,DKI3
