tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-09-01,64,51,27,76,10,76,O3,SEDANG,DKI3
2017-09-02,78,51,29,92,12,92,O3,SEDANG,DKI3
2017-09-03,107,51,39,74,13,107,PM10,TIDAK SEHAT,DKI4
2017-09-04,103,52,35,157,15,157,O3,TIDAK SEHAT,DKI3
2017-09-05,65,52,19,92,12,92,O3,SEDANG,DKI2
2017-09-06,66,51,39,88,19,88,O3,SEDANG,DKI3
2017-09-07,68,51,37,74,16,74,O3,SEDANG,DKI3
2017-09-08,78,52,26,79,15,79,O3,SEDANG,DKI3
2017-09-09,72,52,34,96,13,96,O3,SEDANG,DKI3
2017-09-10,59,52,27,99,12,99,O3,SEDANG,DKI2
2017-09-11,65,51,29,95,18,95,O3,SEDANG,DKI1
2017-09-12,91,52,37,107,20,107,O3,TIDAK SEHAT,DKI3
2017-09-13,71,53,30,145,21,145,O3,TIDAK SEHAT,DKI2
2017-09-14,89,53,36,140,17,140,O3,TIDAK SEHAT,DKI3
2017-09-15,93,52,31,144,23,144,O3,TIDAK SEHAT,DKI3
2017-09-16,75,52,24,73,12,75,PM10,SEDANG,DKI4
2017-09-17,60,52,26,78,13,78,O3,SEDANG,DKI1
2017-09-18,66,52,25,72,11,72,O3,SEDANG,DKI3
2017-09-19,67,52,22,88,10,88,O3,SEDANG,DKI3
2017-09-20,58,52,28,121,15,121,O3,TIDAK SEHAT,DKI3
2017-09-21,77,54,25,100,21,100,O3,SEDANG,DKI3
2017-09-22,68,52,26,161,12,161,O3,TIDAK SEHAT,DKI3
2017-09-23,81,53,31,137,19,137,O3,TIDAK SEHAT,DKI1
2017-09-24,73,54,26,103,16,103,O3,TIDAK SEHAT,DKI2
2017-09-25,68,52,25,109,18,109,O3,TIDAK SEHAT,DKI3
2017-09-26,75,51,30,77,17,77,O3,SEDANG,DKI3
2017-09-27,62,51,27,51,15,62,PM10,SEDANG,DKI5
2017-09-28,62,51,52,121,18,121,O3,TIDAK SEHAT,DKI2
2017-09-29,69,44,39,132,14,132,O3,TIDAK SEHAT,DKI3
2017-09-30,56,52,39,76,17,76,O3,SEDANG,DKI3
,,,,,,,,,
