tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-02-01,41,32,29,44,12,44,O3,BAIK,DKI3
2017-02-02,49,31,27,41,16,49,PM10,BAIK,DKI1
2017-02-03,53,30,30,45,13,53,PM10,SEDANG,DKI1
2017-02-04,30,30,28,38,7,38,O3,BAIK,DKI2
2017-02-05,23,28,26,37,5,37,O3,BAIK,DKI1
2017-02-06,25,28,26,34,7,34,O3,BAIK,DKI2
2017-02-07,39,28,34,33,8,39,PM10,BAIK,DKI1
2017-02-08,28,31,30,33,12,33,O3,BAIK,DKI3
2017-02-09,41,31,32,41,14,41,PM10,BAIK,DKI1
2017-02-10,30,31,31,44,12,44,O3,BAIK,DKI2
2017-02-11,32,31,36,45,11,45,O3,BAIK,DKI3
2017-02-12,37,30,34,44,12,44,O3,BAIK,DKI2
2017-02-13,43,31,36,56,13,56,O3,SEDANG,DKI3
2017-02-14,39,32,47,58,16,58,O3,SEDANG,DKI3
2017-02-15,29,32,36,54,12,54,O3,SEDANG,DKI5
2017-02-16,36,31,29,55,11,55,O3,SEDANG,DKI3
2017-02-17,61,29,48,50,15,61,PM10,SEDANG,DKI4
2017-02-18,68,29,45,36,13,68,PM10,SEDANG,DKI1
2017-02-19,78,31,80,47,11,80,CO,SEDANG,DKI5
2017-02-20,60,31,52,36,11,60,PM10,SEDANG,DKI3
2017-02-21,57,31,70,65,20,70,CO,SEDANG,DKI5
2017-02-22,58,34,40,130,21,130,O3,TIDAK SEHAT,DKI2
2017-02-23,54,32,41,114,16,114,O3,TIDAK SEHAT,DKI4
2017-02-24,74,40,50,106,21,106,O3,TIDAK SEHAT,DKI3
2017-02-25,51,31,43,90,26,90,O3,SEDANG,DKI2
2017-02-26,59,31,44,123,14,123,O3,TIDAK SEHAT,DKI3
2017-02-27,36,31,39,81,13,81,O3,SEDANG,DKI3
2017-02-28,64,31,46,98,16,98,O3,SEDANG,DKI3
