tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-12-01,27,49,23,33,8,49,SO2,BAIK,DKI2
2017-12-02,39,49,30,32,7,49,SO2,BAIK,DKI2
2017-12-03,39,49,31,43,7,49,SO2,BAIK,DKI2
2017-12-04,30,50,25,43,5,50,SO2,BAIK,DKI2
2017-12-05,37,50,27,50,7,50,SO2,BAIK,DKI2
2017-12-06,43,51,29,95,21,95,O3,SEDANG,DKI2
2017-12-07,43,51,29,77,21,77,O3,SEDANG,DKI3
2017-12-08,41,51,27,77,19,77,O3,SEDANG,DKI3
2017-12-09,25,51,29,73,14,73,O3,SEDANG,DKI3
2017-12-10,24,51,25,38,6,51,SO2,SEDANG,DKI2
2017-12-11,31,51,27,35,11,51,SO2,SEDANG,DKI2
2017-12-12,24,27,36,46,9,46,O3,BAIK,DKI3
2017-12-13,27,51,38,34,10,51,SO2,SEDANG,DKI2
2017-12-14,35,51,28,59,23,59,O3,SEDANG,DKI3
2017-12-15,41,51,27,47,18,51,SO2,SEDANG,DKI2
2017-12-16,63,51,38,50,18,63,PM10,SEDANG,DKI4
2017-12-17,33,51,31,45,11,51,SO2,SEDANG,DKI2
2017-12-18,30,52,30,41,8,52,SO2,SEDANG,DKI2
2017-12-19,33,52,27,45,11,52,SO2,SEDANG,DKI2
2017-12-20,39,52,31,50,12,52,SO2,SEDANG,DKI2
2017-12-21,37,52,28,53,15,53,O3,SEDANG,DKI3
2017-12-22,29,52,37,52,12,52,SO2,SEDANG,DKI2
2017-12-23,34,52,27,56,9,56,O3,SEDANG,DKI2
2017-12-24,38,30,29,43,7,43,O3,BAIK,DKI2
2017-12-25,30,29,26,31,5,31,O3,BAIK,DKI2
2017-12-26,38,30,26,40,5,40,O3,BAIK,DKI3
2017-12-27,55,30,26,43,11,55,PM10,SEDANG,DKI4
2017-12-28,31,30,26,48,18,48,O3,BAIK,DKI4
2017-12-29,72,35,38,84,16,84,O3,SEDANG,DKI3
2017-12-30,60,34,31,81,15,81,O3,SEDANG,DKI3
2017-12-31,63,33,40,43,14,63,PM10,SEDANG,DKI4
