tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2017-03-01,58,32,41,83,18,83,O3,SEDANG,DKI3
2017-03-02,64,35,44,75,18,75,O3,SEDANG,DKI3
2017-03-03,60,31,54,66,19,66,O3,SEDANG,DKI3
2017-03-04,43,31,43,112,12,112,O3,TIDAK SEHAT,DKI3
2017-03-05,60,32,41,107,16,107,O3,TIDAK SEHAT,DKI3
2017-03-06,52,32,38,63,12,63,O3,SEDANG,DKI3
2017-03-07,52,32,37,69,15,69,O3,SEDANG,DKI3
2017-03-08,40,32,40,84,26,84,O3,SEDANG,DKI1
2017-03-09,53,33,34,119,24,119,O3,TIDAK SEHAT,DKI2
2017-03-10,77,52,51,81,22,81,O3,SEDANG,DKI3
2017-03-11,66,32,45,120,18,120,O3,TIDAK SEHAT,DKI3
2017-03-12,75,32,48,84,17,84,O3,SEDANG,DKI3
2017-03-13,72,32,35,81,24,81,O3,SEDANG,DKI2
2017-03-14,71,34,33,74,25,74,O3,SEDANG,DKI2
2017-03-15,61,33,34,40,17,61,PM10,SEDANG,DKI3
2017-03-16,51,34,31,136,12,136,O3,TIDAK SEHAT,DKI2
2017-03-17,94,38,40,99,24,99,O3,SEDANG,DKI5
2017-03-18,55,32,51,64,23,64,O3,SEDANG,DKI2
2017-03-19,51,32,46,84,20,84,O3,SEDANG,DKI2
2017-03-20,35,31,17,48,7,48,O3,BAIK,DKI2
2017-03-21,51,31,23,40,12,51,PM10,SEDANG,DKI1
2017-03-22,47,40,40,53,23,53,O3,SEDANG,DKI3
2017-03-23,56,42,46,65,24,65,O3,SEDANG,DKI3
2017-03-24,88,50,93,125,19,125,O3,TIDAK SEHAT,DKI3
2017-03-25,66,43,39,73,15,73,O3,SEDANG,DKI3
2017-03-26,66,54,61,54,11,66,PM10,SEDANG,DKI4
2017-03-27,52,47,39,83,20,83,O3,SEDANG,DKI3
2017-03-28,72,47,68,85,16,85,O3,SEDANG,DKI2
2017-03-29,57,50,53,77,11,77,O3,SEDANG,DKI2
2017-03-30,45,45,32,48,17,48,O3,BAIK,DKI4
2017-03-31,31,38,26,34,8,38,SO2,BAIK,DKI3
